Transect,Adults,Juveniles,Total,Survey_no ,Date,Start_time,temp ,Ground_Temp (C),Ambient_Temp (C),RH (%),Precip_dly_same_day_Yorktown_US1VAYR0008,Precip_dly_same_day_NEWPORT NEWS_US1VAYR0003_in,Precip,detection_prob
1,3,18,21,1,5/17/16,21:55,15.1,17.8,15.1,94.4,0.03,0,0.03,0.9570897
1,0,20,20,2,6/11/16,21:40,25.4,25.4,26.1,79.5,0,0,0,0.9246061
1,1,13,14,3,6/20/16,22:02,23.1,23.1,22.8,72.1,0.58,0.04,0.58,0.8955669
1,10,35,45,4,6/28/16,21:51,24.6,24.6,23.2,100,0.02,0.05,0.02,0.873991
1,3,30,33,5,7/10/16,22:00,24.6,24.6,23.9,90.7,0.02,0.05,0.02,0.8231277
1,6,24,30,6,7/23/16,22:05,25.7,25.7,26.8,95.5,0.47,0,0.47,0.7577129
1,1,1,2,7,8/21/16,2231,25.2,25.2,25.3,95.3,0,0,0,0.5420124
1,0,0,0,8,8/31/16,2100,24.2,24.2,24.5,89.3,0.06,0.73,0.06,0.4518891
2,4,9,13,1,5/14/16,21:40,18.6,18.6,17,99.2,0.06,0.73,0.06,0.9704156
2,6,12,18,2,6/4/16,21:50,22.8,22.8,23.9,89.3,0,0,0,0.9463276
2,2,7,9,3,6/13/16,22:07,22,22,21.6,70.4,0,0,0,0.9127221
2,4,10,14,4,6/25/16,23:10,21.6,21.6,21.7,91.4,NR,0.08,0.08,0.8817782
2,11,18,29,5,7/9/16,22:02,25.9,25.9,26.5,82.9,0.02,0.27,0.02,0.832143
2,10,12,22,6,7/24/16,21:11,32.4,33,32.4,90.3,0.02,0.05,0.02,0.7786402
2,6,2,8,7,8/21/16,2126,26.2,25.4,26.2,93.8,0,0,0,0.5432691
2,0,1,1,8,9/1/16,2108,24.9,24.8,24.9,87.6,0,0,0,0.4477176
3,1,20,21,1,4/28/16,21:34,,,,,0,0,0,0.9736241
3,5,37,42,2,5/25/16,22:25,19.9,20.4,20.6,64.7,0,0,0,0.9513819
3,7,41,48,3,6/8/16,21:30,20.6,22,20.6,84,0,0,0,0.9019331
3,8,27,35,4,6/19/16,22:05,20.6,24.5,24.4,90.3,0.13,0.23,0.13,0.8768855
3,14,16,30,5,6/27/16,21:36,24.4,25.3,25.2,88.8,0,0,0,0.8159983
3,1,2,3,6,7/12/16,22:33,25.2,30,26.8,88.9,0,0,0,0.7634266
3,0,0,0,7,7/25/16,21:07,26.8,26.8,27.7,85.4,0.03,0,0.03,0.5521517
3,0,0,0,8,8/21/16,21:40,27.7,24.6,24.8,84.8,0.05,0.03,0.05,0.4542319
4,2,8,10,1,5/11/16,22:02,17.6,20.6,17.6,92.2,0.05,0.03,0.05,0.9698784
4,2,11,13,2,5/24/16,21:35,19.8,22.3,19.8,80.7,0.02,0.01,0.02,0.9602958
4,3,1,4,3,6/12/16,21:50,25.2,27.2,25.2,55.6,0,0,0,0.9242723
