Index,Pads,Color,Eggs,Ycoord,Xcoord ,Demog 
281,FAINT,DY,N,4121162,363855,M
394,N,DY,N,4117195,365085,S
374,N,G,N,4117850,365028,S
464,N,GY,N,4117855,365029,S
419,N,DY,N,4117860,365099,S
426,N,GY,N,4117863,365030,S
319,N,G,N,4117864,365037,S
331,N,G,N,4117864,365047,S
381,N,G,N,4117864,365047,S
382,N,GY,N,4117864,365047,S
320,N,GY,N,4117866,365045,S
429,N,G,N,4117868,365039,S
333,N,GY,N,4117868,365055,S
291,N,G,N,4117869,365027,S
385,N,DY,N,4117873,365041,S
472,N,GY,N,4117875,365061,S
296,N,G,N,4117875,365066,S
292,N,G,N,4117877,365030,S
325,N,DY,N,4117877,365034,S
337,N,GY,N,4117877,365064,S
433,N,DY,N,4117878,365029,S
338,N,G,N,4117878,365062,S
448,N,G,N,4117878,365077,S
363,N,GY,N,4117880,365073,S
428,N,DY,N,4117881,365039,S
335,N,GY,N,4117883,365056,S
390,N,DY,N,4117883,365068,S
361,N,DY,N,4117884,365061,S
463,N,GY,N,4117885,365028,S
380,N,G,N,4117885,365049,S
455,N,GY,N,4117886,365103,S
406,N,DY,N,4117886,365120,S
298,N,G,N,4117887,365059,S
339,N,GY,N,4117887,365076,S
348,N,GY,N,4117887,365076,S
313,N,GY,N,4117888,365013,S
314,N,GY,N,4117888,365019,S
318,N,GY,N,4117888,365027,S
330,N,G,N,4117888,365044,S
396,N,Y,N,4117888,365068,S
397,N,GY,N,4117888,365068,S
442,N,DY,N,4117888,365084,S
326,N,DY,N,4117889,365012,S
434,N,DY,N,4117889,365051,S
443,N,G,N,4117889,365069,S
403,N,GY,N,4117890,365070,S
404,N,GY,N,4117890,365070,S
327,N,G,N,4117891,365032,S
293,N,G,N,4117891,365034,S
435,N,G,N,4117891,365048,S
436,N,GY,N,4117891,365048,S
357,N,GY,N,4117891,365055,S
453,N,GY,N,4117891,365100,S
321,N,GY,N,4117892,365025,S
329,N,GY,N,4117892,365053,S
343,N,G,N,4117893,365048,S
364,N,G,N,4117893,365098,S
322,N,GY,N,4117894,365017,S
386,N,GY,N,4117894,365052,S
389,N,GY,N,4117894,365069,S
336,N,GY,N,4117895,365054,S
316,N,G,N,4117896,365011,S
341,N,GY,N,4117896,365052,S
342,N,G,N,4117896,365052,S
302,N,G,N,4117896,365074,S
323,N,G,N,4117897,365018,S
377,N,GY,N,4117897,365036,S
332,N,G,N,4117898,365036,S
375,N,DY,N,4117898,365042,S
470,N,GY,N,4117898,365053,S
471,N,GY,N,4117898,365053,S
398,N,GY,N,4117898,365066,S
441,N,GY,N,4117898,365067,S
456,N,DY,N,4117898,365106,S
299,N,G,N,4117899,365067,S
469,N,GY,N,4117900,365046,S
379,N,GY,N,4117901,365044,S
317,N,G,N,4117902,365019,S
295,N,G,N,4117902,365040,S
359,N,DY,N,4117902,365065,S
303,N,G,N,4117902,365092,S
309,N,G,N,4117902,365114,S
310,N,G,N,4117902,365114,S
315,N,DY,N,4117903,364996,S
383,N,GY,N,4117903,365049,S
384,N,DY,N,4117903,365049,S
354,N,GY,N,4117904,365070,S
445,N,G,N,4117904,365083,S
437,N,DY,N,4117905,365045,S
468,N,GY,N,4117905,365048,S
392,N,GY,N,4117906,365073,S
393,N,GY,N,4117906,365073,S
481,N,GY,N,4117906,365084,S
486,N,GY,N,4117906,365088,S
412,N,DY,N,4117907,365110,S
444,N,DY,N,4117908,365069,S
402,N,GY,N,4117908,365076,S
465,N,DY,N,4117909,365027,S
500,N,GY,N,4117910,365067,S
304,N,G,N,4117910,365089,S
301,N,G,N,4117911,365061,S
405,N,GY,N,4117911,365109,S
431,N,GY,N,4117912,365043,S
362,N,GY,N,4117912,365055,S
297,N,G,N,4117912,365065,S
358,N,DY,N,4117912,365074,S
347,N,GY,N,4117913,365057,S
352,N,GY,N,4117913,365075,S
307,N,G,N,4117913,365100,S
294,N,G,N,4117914,365043,S
349,N,GY,N,4117914,365054,S
387,N,DY,N,4117916,365061,S
447,N,DY,N,4117916,365081,S
306,N,GY,N,4117916,365113,S
344,N,GY,N,4117917,365044,S
345,N,GY,N,4117917,365044,S
479,N,GY,N,4117917,365075,S
450,N,GY,N,4117917,365077,S
360,N,DY,N,4117918,365044,S
439,N,G,N,4117918,365049,S
487,N,Y,N,4117918,365100,S
488,N,GY,N,4117918,365100,S
300,N,G,N,4117919,365052,S
350,N,GY,N,4117920,365055,S
351,N,G,N,4117920,365055,S
395,N,G,N,4117921,365079,S
480,N,GY,N,4117922,365074,S
305,N,GY,N,4117922,365077,S
399,N,GY,N,4117922,365082,S
400,N,GY,N,4117922,365082,S
458,N,G,N,4117923,365088,S
407,N,GY,N,4117923,365108,S
408,N,DY,N,4117923,365108,S
409,N,GY,N,4117923,365108,S
460,N,GY,N,4117924,365100,S
489,N,G,N,4117926,365102,S
365,N,Y,N,4117927,365100,S
413,N,G,N,4117927,365100,S
414,N,GY,N,4117927,365100,S
499,N,GY,N,4117928,365026,S
440,N,G,N,4117928,365053,S
451,N,Y,N,4117930,365099,S
420,N,GY,N,4117932,365105,S
421,N,DY,N,4117933,365110,S
366,N,GY,N,4117935,365101,S
491,N,GY,N,4117936,365111,S
452,N,DY,N,4117938,365055,S
311,N,G,N,4117938,365093,S
415,N,GY,N,4117940,365116,S
416,N,GY,N,4117940,365116,S
410,N,DY,N,4117945,365094,S
411,N,GY,N,4117945,365094,S
713,N,GY,N,4118873,367224,S
852,N,DY,N,4118875,367246,S
883,N,GY,N,4118885,367267,S
716,N,G,N,4118887,367257,S
777,N,G,N,4118887,367288,S
778,N,GY,N,4118887,367288,S
779,N,GY,N,4118887,367288,S
856,N,GY,N,4118887,367289,S
726,N,G,N,4118888,367277,S
720,N,G,N,4118889,367263,S
756,N,G,N,4118890,367245,S
813,N,GY,N,4118890,367264,S
759,N,DY,N,4118891,367262,S
868,N,DY,N,4118891,367299,S
809,N,GY,N,4118892,367245,S
715,N,GY,N,4118895,367250,S
851,N,GY,N,4118895,367263,S
879,N,G,N,4118897,367247,S
729,N,GY,N,4118898,367286,S
888,N,DY,N,4118898,367306,S
714,N,G,N,4118899,367242,S
727,N,DY,N,4118899,367286,S
771,N,DY,N,4118899,367261,S
774,N,GY,N,4118901,367297,S
784,N,G,N,4118902,367307,S
785,N,G,N,4118902,367307,S
723,N,GY,N,4118903,367274,S
817,N,GY,N,4118903,367247,S
849,N,GY,N,4118903,367260,S
769,N,G,N,4118903,367266,S
722,N,GY,N,4118904,367278,S
776,N,GY,N,4118904,367290,S
798,N,GY,N,4118904,367306,S
902,N,GY,N,4118905,367239,S
811,N,GY,N,4118905,367250,S
